name,rating,users_count,tags,link
Sorting Pancakes,2300,11,dp,https://codeforces.com/problemset/problem/1675/G
Arithmetic Operations,2300,93,"brute force, data structures, graphs, math",https://codeforces.com/problemset/problem/1654/E
Robot Cleaner Revisit,2300,17,"implementation, math, probabilities",https://codeforces.com/problemset/problem/1623/D
Centroids,2300,31,"data structures, dfs and similar, dp, graphs, greedy, trees",https://codeforces.com/problemset/problem/708/C
Divan and Kostomuksha (hard version),2300,30,"dp, number theory",https://codeforces.com/problemset/problem/1614/D2
Game with Stones,2300,61,"binary search, data structures, divide and conquer, games, greedy",https://codeforces.com/problemset/problem/1588/C
Beautiful Set,2300,20,"brute force, number theory",https://codeforces.com/problemset/problem/364/C
Inversion Expectation,2300,45,"dp, math, probabilities",https://codeforces.com/problemset/problem/1096/F
Vasya and Templates,2300,2,"greedy, implementation, strings",https://codeforces.com/problemset/problem/1085/E
Excellent Arrays,2300,17,"binary search, combinatorics, constructive algorithms, implementation, math, sortings, two pointers",https://codeforces.com/problemset/problem/1550/D
Little Artem and Graph,2300,5,,https://codeforces.com/problemset/problem/641/G
Sonya and Problem Wihtout a Legend,2300,26,"dp, sortings",https://codeforces.com/problemset/problem/713/C
Complete The Graph,2300,107,"binary search, constructive algorithms, graphs, shortest paths",https://codeforces.com/problemset/problem/715/B
Progress Monitoring,2300,2,"dp, trees",https://codeforces.com/problemset/problem/509/F
Prefix Product Sequence,2300,32,"constructive algorithms, math, number theory",https://codeforces.com/problemset/problem/487/C
Omkar and Forest,2300,14,"combinatorics, graphs, math, shortest paths",https://codeforces.com/problemset/problem/1536/E
Bamboo Partition,2300,65,"brute force, data structures, implementation, math, number theory, sortings, two pointers",https://codeforces.com/problemset/problem/830/C
Mice problem,2300,63,"geometry, implementation, math, sortings",https://codeforces.com/problemset/problem/793/C
Vulnerable Kerbals,2300,20,"constructive algorithms, math, number theory",https://codeforces.com/problemset/problem/800/C
Dog Snacks,2300,23,"binary search, dfs and similar, dp, greedy, trees",https://codeforces.com/problemset/problem/1453/E
The Great Mixing,2300,15,"dfs and similar, graphs, shortest paths",https://codeforces.com/problemset/problem/788/C
Bitwise Queries (Hard Version),2300,24,"bitmasks, constructive algorithms, interactive, math",https://codeforces.com/problemset/problem/1451/E2
Returning Home,2300,26,"graphs, shortest paths, sortings",https://codeforces.com/problemset/problem/1422/D
Danger of Mad Snakes,2300,14,"combinatorics, dp, math",https://codeforces.com/problemset/problem/1425/D
Spring cleaning,2300,34,"*special, data structures, dfs and similar, graphs, trees",https://codeforces.com/problemset/problem/1403/B
Yet Another Segments Subset,2300,25,"data structures, dp, graphs, sortings",https://codeforces.com/problemset/problem/1399/F
New Passenger Trams,2300,53,"binary search, brute force, data structures, sortings, two pointers",https://codeforces.com/problemset/problem/1379/D
Merging Towers,2300,25,"data structures, dsu, implementation, trees",https://codeforces.com/problemset/problem/1380/E
Columns Swaps,2300,34,"2-sat, dfs and similar, dsu, graphs, implementation",https://codeforces.com/problemset/problem/1385/G
Removing Leaves,2300,33,"data structures, greedy, implementation, trees",https://codeforces.com/problemset/problem/1385/F
Asterism (Hard Version),2300,46,"binary search, combinatorics, dp, math, number theory, sortings",https://codeforces.com/problemset/problem/1371/E2
Placing Rooks,2300,28,"combinatorics, fft, math",https://codeforces.com/problemset/problem/1342/E
Instant Noodles,2300,112,"graphs, hashing, math, number theory",https://codeforces.com/problemset/problem/1322/C
Team Building,2300,24,"bitmasks, dp, greedy, sortings",https://codeforces.com/problemset/problem/1316/E
Tourism,2300,102,"brute force, dp, graphs, probabilities",https://codeforces.com/problemset/problem/1314/D
Animal Observation (easy version),2300,19,"data structures, dp",https://codeforces.com/problemset/problem/1304/F1
Physical Education Lessons,2300,50,"data structures, implementation, sortings",https://codeforces.com/problemset/problem/915/E
Delete a Segment,2300,60,"brute force, constructive algorithms, data structures, dp, graphs, sortings, trees, two pointers",https://codeforces.com/problemset/problem/1285/E
Dominant Indices,2300,25,"data structures, dsu, trees",https://codeforces.com/problemset/problem/1009/F
Xor-MST,2300,115,"bitmasks, constructive algorithms, data structures",https://codeforces.com/problemset/problem/888/G
Cleaning Robots,2300,22,"dp, trees",https://codeforces.com/problemset/problem/1252/B
Tiling Terrace,2300,20,"brute force, dp",https://codeforces.com/problemset/problem/1252/J
Road Construction,2300,22,"flows, graphs",https://codeforces.com/problemset/problem/1252/L
The Coronation,2300,24,"graphs, implementation",https://codeforces.com/problemset/problem/1250/E
Discarding Game,2300,25,"dp, greedy, two pointers",https://codeforces.com/problemset/problem/1250/G
Beautiful Rectangle,2300,65,"brute force, combinatorics, constructive algorithms, data structures, greedy, math",https://codeforces.com/problemset/problem/1276/C
Enchanted Artifact,2300,44,"constructive algorithms, interactive, strings",https://codeforces.com/problemset/problem/1282/D
Point Ordering,2300,76,"constructive algorithms, geometry, interactive, math",https://codeforces.com/problemset/problem/1254/C
Daniel and Spring Cleaning,2300,20,"bitmasks, brute force, combinatorics, dp",https://codeforces.com/problemset/problem/1245/F
Hyakugoku and Ladders,2300,12,"dp, probabilities, shortest paths",https://codeforces.com/problemset/problem/1245/E
Voting (Easy Version),2300,13,"data structures, dp, greedy",https://codeforces.com/problemset/problem/1251/E1
Queue in the Train,2300,75,"data structures, greedy, implementation",https://codeforces.com/problemset/problem/1239/C
Alice and the Doll,2300,53,"brute force, data structures, greedy, implementation",https://codeforces.com/problemset/problem/1236/D
Chips,2300,28,"constructive algorithms, implementation",https://codeforces.com/problemset/problem/1244/F
Another Filling the Grid,2300,17,"combinatorics, dp, math",https://codeforces.com/problemset/problem/1228/E
Nauuo and Pictures (easy version),2300,23,"dp, probabilities",https://codeforces.com/problemset/problem/1172/C1
Sum Queries?,2300,51,"data structures, greedy, implementation, math",https://codeforces.com/problemset/problem/1217/E
Tokitsukaze and Duel,2300,51,"brute force, games, greedy",https://codeforces.com/problemset/problem/1190/C
"Natasha, Sasha and the Prefix Sums",2300,20,"combinatorics, dp, math, number theory",https://codeforces.com/problemset/problem/1204/E
Complete the Projects (hard version),2300,34,"dp, greedy",https://codeforces.com/problemset/problem/1203/F2
Graph Traveler,2300,28,"brute force, data structures, dfs and similar, dp, graphs, implementation, math, number theory",https://codeforces.com/problemset/problem/1200/F
Culture Code,2300,35,"binary search, combinatorics, data structures, dp, shortest paths, sortings",https://codeforces.com/problemset/problem/1197/E
Count Pairs,2300,37,"math, matrices, number theory, two pointers",https://codeforces.com/problemset/problem/1188/B
Scalar Queries,2300,29,"combinatorics, data structures, math, sortings",https://codeforces.com/problemset/problem/1167/F
Interestring graph and Apples,2300,10,"dfs and similar, dsu, graphs",https://codeforces.com/problemset/problem/9/E
Card Bag,2300,16,"dp, math, probabilities",https://codeforces.com/problemset/problem/1156/F
Subtree Minimum Query,2300,17,"data structures, trees",https://codeforces.com/problemset/problem/893/F
Legacy,2300,7,"data structures, graphs, shortest paths",https://codeforces.com/problemset/problem/787/D
Legacy,2300,47,"data structures, graphs, shortest paths",https://codeforces.com/problemset/problem/786/B
Dogeforces,2300,48,"constructive algorithms, data structures, dfs and similar, divide and conquer, dsu, greedy, sortings, trees",https://codeforces.com/problemset/problem/1494/D
